Zipcode,ZipCodeType,City,State,LocationType
10001,STANDARD,NEW YORK,NY,PRIMARY
10001,STANDARD,EMPIRE STATE,NY,NOT ACCEPTABLE
10001,STANDARD,G P O,NY,NOT ACCEPTABLE
10001,STANDARD,GREELEY SQUARE,NY,NOT ACCEPTABLE
10001,STANDARD,MACYS FINANCE,NY,NOT ACCEPTABLE
10001,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10002,STANDARD,NEW YORK,NY,PRIMARY
10002,STANDARD,KNICKERBOCKER,NY,ACCEPTABLE
10002,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10002,STANDARD,NEW YORK CITY,NY,NOT ACCEPTABLE
10002,STANDARD,NY,NY,NOT ACCEPTABLE
10002,STANDARD,NY CITY,NY,NOT ACCEPTABLE
10002,STANDARD,NYC,NY,NOT ACCEPTABLE
10003,STANDARD,NEW YORK,NY,PRIMARY
10003,STANDARD,COOPER,NY,NOT ACCEPTABLE
10003,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10004,STANDARD,NEW YORK,NY,PRIMARY
10004,STANDARD,BOWLING GREEN,NY,ACCEPTABLE
10005,STANDARD,NEW YORK,NY,PRIMARY
10005,STANDARD,WALL STREET,NY,ACCEPTABLE
10005,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10005,STANDARD,NYC,NY,NOT ACCEPTABLE
10006,STANDARD,NEW YORK,NY,PRIMARY
10006,STANDARD,TRINITY,NY,ACCEPTABLE
10006,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10006,STANDARD,NYC,NY,NOT ACCEPTABLE
10007,STANDARD,NEW YORK,NY,PRIMARY
10007,STANDARD,CHURCH STREET,NY,NOT ACCEPTABLE
10007,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10007,STANDARD,NYC,NY,NOT ACCEPTABLE
10008,PO BOX,NEW YORK,NY,PRIMARY
10008,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10008,PO BOX,NYC,NY,NOT ACCEPTABLE
10009,STANDARD,NEW YORK,NY,PRIMARY
10009,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10009,STANDARD,NYC,NY,NOT ACCEPTABLE
10009,STANDARD,PETER STUYVESANT,NY,NOT ACCEPTABLE
10010,STANDARD,NEW YORK,NY,PRIMARY
10010,STANDARD,MADISON SQUARE STA,NY,NOT ACCEPTABLE
10010,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10010,STANDARD,NYC,NY,NOT ACCEPTABLE
10011,STANDARD,NEW YORK,NY,PRIMARY
10012,STANDARD,NEW YORK,NY,PRIMARY
10012,STANDARD,PRINCE,NY,ACCEPTABLE
10012,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10012,STANDARD,NY CITY,NY,NOT ACCEPTABLE
10012,STANDARD,NYC,NY,NOT ACCEPTABLE
10013,STANDARD,NEW YORK,NY,PRIMARY
10013,STANDARD,CANAL STREET,NY,ACCEPTABLE
10013,STANDARD,CHINATOWN,NY,ACCEPTABLE
10013,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10013,STANDARD,NYC,NY,NOT ACCEPTABLE
10014,STANDARD,NEW YORK,NY,PRIMARY
10014,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10014,STANDARD,NYC,NY,NOT ACCEPTABLE
10015,STANDARD,NEW YORK,NY,PRIMARY
10016,STANDARD,NEW YORK,NY,PRIMARY
10016,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10016,STANDARD,NYC,NY,NOT ACCEPTABLE
10017,STANDARD,NEW YORK,NY,PRIMARY
10017,STANDARD,GRAND CENTRAL,NY,NOT ACCEPTABLE
10017,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10017,STANDARD,NYC,NY,NOT ACCEPTABLE
10018,STANDARD,NEW YORK,NY,PRIMARY
10018,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10018,STANDARD,NYC,NY,NOT ACCEPTABLE
10019,STANDARD,NEW YORK,NY,PRIMARY
10019,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10019,STANDARD,NYC,NY,NOT ACCEPTABLE
10020,STANDARD,NEW YORK,NY,PRIMARY
10020,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10020,STANDARD,NYC,NY,NOT ACCEPTABLE
10021,STANDARD,NEW YORK,NY,PRIMARY
10021,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10021,STANDARD,NYC,NY,NOT ACCEPTABLE
10022,STANDARD,NEW YORK,NY,PRIMARY
10022,STANDARD,FRANKLIN D ROOSEVELT,NY,NOT ACCEPTABLE
10022,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10022,STANDARD,NYC,NY,NOT ACCEPTABLE
10023,STANDARD,NEW YORK,NY,PRIMARY
10023,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10023,STANDARD,NYC,NY,NOT ACCEPTABLE
10024,STANDARD,NEW YORK,NY,PRIMARY
10024,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10024,STANDARD,NYC,NY,NOT ACCEPTABLE
10024,STANDARD,PLANETARIUM,NY,NOT ACCEPTABLE
10025,STANDARD,NEW YORK,NY,PRIMARY
10025,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10025,STANDARD,NYC,NY,NOT ACCEPTABLE
10026,STANDARD,NEW YORK,NY,PRIMARY
10026,STANDARD,MORNINGSIDE,NY,NOT ACCEPTABLE
10026,STANDARD,NYC,NY,NOT ACCEPTABLE
10027,STANDARD,NEW YORK,NY,PRIMARY
10027,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10027,STANDARD,MANHATTANVILLE,NY,NOT ACCEPTABLE
10027,STANDARD,NY CITY,NY,NOT ACCEPTABLE
10027,STANDARD,NYC,NY,NOT ACCEPTABLE
10028,STANDARD,NEW YORK,NY,PRIMARY
10028,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10028,STANDARD,NYC,NY,NOT ACCEPTABLE
10029,STANDARD,NEW YORK,NY,PRIMARY
10029,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10029,STANDARD,NYC,NY,NOT ACCEPTABLE
10030,STANDARD,NEW YORK,NY,PRIMARY
10030,STANDARD,COLLEGE,NY,NOT ACCEPTABLE
10030,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10030,STANDARD,NYC,NY,NOT ACCEPTABLE
10031,STANDARD,NEW YORK,NY,PRIMARY
10031,STANDARD,HAMILTON GRANGE,NY,NOT ACCEPTABLE
10031,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10031,STANDARD,NYC,NY,NOT ACCEPTABLE
10032,STANDARD,NEW YORK,NY,PRIMARY
10032,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10032,STANDARD,NYC,NY,NOT ACCEPTABLE
10033,STANDARD,NEW YORK,NY,PRIMARY
10033,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10033,STANDARD,NYC,NY,NOT ACCEPTABLE
10033,STANDARD,WASHINGTON BRIDGE,NY,NOT ACCEPTABLE
10034,STANDARD,NEW YORK,NY,PRIMARY
10034,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10034,STANDARD,NYC,NY,NOT ACCEPTABLE
10035,STANDARD,NEW YORK,NY,PRIMARY
10035,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10035,STANDARD,NYC,NY,NOT ACCEPTABLE
10035,STANDARD,RANDALLS ISLAND,NY,NOT ACCEPTABLE
10035,STANDARD,TRIBOROUGH,NY,NOT ACCEPTABLE
10035,STANDARD,WARDS IS,NY,NOT ACCEPTABLE
10035,STANDARD,WARDS ISLAND,NY,NOT ACCEPTABLE
10036,STANDARD,NEW YORK,NY,PRIMARY
10036,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10036,STANDARD,NYC,NY,NOT ACCEPTABLE
10037,STANDARD,NEW YORK,NY,PRIMARY
10037,STANDARD,LINCOLNTON,NY,NOT ACCEPTABLE
10037,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10037,STANDARD,NYC,NY,NOT ACCEPTABLE
10038,STANDARD,NEW YORK,NY,PRIMARY
10038,STANDARD,PECK SLIP,NY,ACCEPTABLE
10038,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10038,STANDARD,NYC,NY,NOT ACCEPTABLE
10039,STANDARD,NEW YORK,NY,PRIMARY
10039,STANDARD,COLONIAL PARK,NY,NOT ACCEPTABLE
10039,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10039,STANDARD,NYC,NY,NOT ACCEPTABLE
10040,STANDARD,NEW YORK,NY,PRIMARY
10040,STANDARD,FORT GEORGE,NY,NOT ACCEPTABLE
10040,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10040,STANDARD,NYC,NY,NOT ACCEPTABLE
10041,STANDARD,NEW YORK,NY,PRIMARY
10041,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10043,UNIQUE,NEW YORK,NY,PRIMARY
10043,UNIQUE,CITIBANK,NY,NOT ACCEPTABLE
10044,STANDARD,NEW YORK,NY,PRIMARY
10044,STANDARD,ROOSEVELT ISL,NY,ACCEPTABLE
10044,STANDARD,ROOSEVELT ISLAND,NY,ACCEPTABLE
10045,STANDARD,NEW YORK,NY,PRIMARY
10045,STANDARD,FEDERAL RESERVE,NY,NOT ACCEPTABLE
10046,UNIQUE,CONTEST MAIL,NY,NOT ACCEPTABLE
10046,UNIQUE,NEW YORK,NY,PRIMARY
10047,UNIQUE,NEW YORK,NY,PRIMARY
10047,UNIQUE,NY STATE AGENCY,NY,NOT ACCEPTABLE
10048,STANDARD,MANHATTAN,NY,ACCEPTABLE
10048,STANDARD,WORLD TRADE CTR,NY,ACCEPTABLE
10048,STANDARD,NYC,NY,ACCEPTABLE
10048,STANDARD,NEW YORK,NY,PRIMARY
10055,STANDARD,NEW YORK,NY,PRIMARY
10055,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10060,STANDARD,NEW YORK,NY,PRIMARY
10065,STANDARD,NEW YORK,NY,PRIMARY
10069,STANDARD,NEW YORK,NY,PRIMARY
10072,UNIQUE,PHILIP MORRIS,NY,ACCEPTABLE
10072,UNIQUE,NEW YORK,NY,PRIMARY
10075,STANDARD,NEW YORK,NY,PRIMARY
10079,UNIQUE,NEW YORK,NY,PRIMARY
10079,UNIQUE,BUREAU OF CENSUS,NY,NOT ACCEPTABLE
10080,UNIQUE,NEW YORK,NY,PRIMARY
10080,UNIQUE,MERRILL LYNCH,NY,NOT ACCEPTABLE
10081,UNIQUE,NEW YORK,NY,PRIMARY
10081,UNIQUE,JP MORGAN BANK,NY,NOT ACCEPTABLE
